# sent_id = 1003
# file = 00001
# text = 자기계발을 원하는 사람에게 가장 적합한 학교
1	자기계발을	자기+계발을	자기+계발+을	PRON	NP+NNG_JKO	NP+NNG+JKO
4	시장을	시장+을	시장+을	NOUN	NNG+JKO	NNG+JKO
5	이끌고	이끌+고	이끌+고	VERB	VV+EC	VV+EC
6	있다	있+다	있+다	AUX	VX+EF	VX+EF
7	.	.	.	PUNC	SF	SF

# sent_id = 1634
# file = 00001
# text = 이는 중국의 대표 검색엔진 바이두가 부진한 주가를 기록하는 것과 대비된다 .
1	이는	이+는	이+는	PRON	NP+JX	NP+JX
2	중국의	중국+의	중국+의	PROPN	NNP+JKG	NNP+JKG
3	대표	대표	대표	NOUN	NNG	NNG
4	검색엔진	검색엔진	검색엔진	NOUN	NNG	NNG
5	바이두가	바이두+가	바이두+가	PROPN	NNP+JKS	NNP+JKS
6	부진한	부진한	부진하+ㄴ	ADJ	VA_ETM	VA+ETM
7	주가를	주가+를	주가+를	NOUN	NNG+JKO	NNG+JKO
8	기록하는	기록하+는	기록하+는	VERB	VV+ETM	VV+ETM
9	것과	것+과	것+과	NOUN	NNB+JKB	NNB+JKB
10	대비된다	대비된+다	대비되+ㄴ다	VERB	VV+EF	VV+EF
11	.	.	.	PUNC	SF	SF

# sent_id = 1636
# file = 00001
# text = 국민의 목소리 , 전문가의 목소리가 많다는 것을 꼭 한번 공론화하고 싶었다 .
1	국민의	국민+의	국민+의	NOUN	NNG+JKG	NNG+JKG
2	목소리	목소리	목소리	NOUN	NNP	NNP
3	,	,	,	PUNC	SP	SP
4	전문가의	전문가+의	전문가+의	NOUN	NNG+JKG	NNG+JKG
5	목소리가	목소리+가	목소리+가	NOUN	NNP+JKS	NNP+JKS
6	많다는	많+다는	많+다는	ADJ	VA+ETM	VA+ETM
7	것을	것+을	것+을	NOUN	NNB+JKO	NNB+JKO
8	꼭	꼭	꼭	ADV	MAG	MAG
9	한번	한+번	한+번	NOUN	MM+NNB	MM+NNB
10	공론화하고	공론화하+고	공론화하+고	VERB	VV+EC	VV+EC
11	싶었다	싶+었다	싶+었+다	AUX	VX+EP_EF	VX+EP+EF
12	.	.	.	PUNC	SF	SF

# sent_id = 1637
# file = 00001
# text = 지금도 제 소신은 명확하다 .
1	지금도	지금+도	지금+도	NOUN	NNG+JX	NNG+JX
2	제	제	저+의	PRON	NP_JKG	NP+JKG
3	소신은	소신+은	소신+은	NOUN	NNG+JX	NNG+JX
4	명확하다	명확하+다	명확하+다	ADJ	VA+EF	VA+EF
5	.	.	.	PUNC	SF	SF

# sent_id = 1638
# file = 00001
# text = UFF로부터 킹스컵 경기 관련 사과 공문을 접수했다 .
1	UFF로부터	UFF+로부터	UFF+로부터	NOUN	SL+JKB	SL+JKB
2	킹스컵	킹스컵	킹스컵	NOUN	NNG	NNG
3	경기	경기	경기	NOUN	NNG	NNG
4	관련	관련	관련	NOUN	NNG	NNG
5	사과	사과	사과	NOUN	NNG	NNG
6	공문을	공문+을	공문+을	NOUN	NNG+JKO	NNG+JKO
7	접수했다	접수했+다	접수하+었+다	VERB	VV+EP_EF	VV+EP+EF
8	.	.	.	PUNC	SF	SF

# sent_id = 1639
# file = 00001
# text = 국민이 균형적 판단을 할 수 있도록 선관위가 필요하다면 적절한 정보를 제공해주길 당부한다 .
1	국민이	국민+이	국민+이	NOUN	NNG+JKS	NNG+JKS
2	균형적	균형적	균형적	DET	MM	MM
3	판단을	판단+을	판단+을	NOUN	NNG+JKO	NNG+JKO
4	할	할	하+ㄹ	VERB	VV_ETM	VV+ETM
5	수	수	수	NOUN	NNB	NNB
6	있도록	있+도록	있+도록	ADJ	VA+EC	VA+EC
7	선관위가	선관위+가	선관위+가	NOUN	NNG+JKS	NNG+JKS
8	필요하다면	필요하+다면	필요하+다면	ADJ	VA+EC	VA+EC
9	적절한	적절한	적절하+ㄴ	ADJ	VA_ETM	VA+ETM
10	정보를	정보+를	정보+를	NOUN	NNG+JKO	NNG+JKO
11	제공해주길	제공해+주길	제공하+어+주+기+ㄹ	VERB	VV+EC_VX_ETN_JKO	VV+EC+VX+ETN+JKO
12	당부한다	당부한+다	당부하+ㄴ다	VERB	VV+EF	VV+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1640
# file = 00001
# text = 사시 존치가 로스쿨의 폐지와 축소를 주장하는 것이 아님에도 극도의 공포감을 보이는 것 자체로 로스쿨이 얼마나 허술하고 불안한 제도인지 스스로 보여주고 있다 .
1	사시	사시	사시	NOUN	NNG	NNG
2	존치가	존치+가	존치+가	NOUN	NNG+JKS	NNG+JKS
3	로스쿨의	로스쿨+의	로스쿨+의	NOUN	NNG+JKG	NNG+JKG
4	폐지와	폐지+와	폐지+와	NOUN	NNG+JC	NNG+JC
5	축소를	축소+를	축소+를	NOUN	NNG+JKO	NNG+JKO
6	주장하는	주장하+는	주장하+는	VERB	VV+ETM	VV+ETM
7	것이	것+이	것+이	NOUN	NNB+JKC	NNB+JKC
8	아님에도	아님+에도	아니+ㅁ에도	ADJ	VCN+EC	VCN+EC
9	극도의	극도+의	극도+의	NOUN	NNG+JKG	NNG+JKG
10	공포감을	공포감+을	공포감+을	NOUN	NNG+JKO	NNG+JKO
11	보이는	보이+는	보이+는	VERB	VV+ETM	VV+ETM
12	것	것	것	NOUN	NNB	NNB
13	자체로	자체+로	자체+로	NOUN	NNG+JKB	NNG+JKB
14	로스쿨이	로스쿨+이	로스쿨+이	NOUN	NNG+JKS	NNG+JKS
15	얼마나	얼마나	얼마나	ADV	MAG	MAG
16	허술하고	허술하+고	허술하+고	ADJ	VA+EC	VA+EC
17	불안한	불안한	불안하+ㄴ	ADJ	VA_ETM	VA+ETM
18	제도인지	제도+인지	제도+이+ㄴ지	VERB	NNG+VCP_EC	NNG+VCP+EC
19	스스로	스스로	스스로	ADV	MAG	MAG
20	보여주고	보여+주고	보이+어+주+고	VERB	VV+EC_VX_EC	VV+EC+VX+EC
21	있다	있+다	있+다	AUX	VX+EF	VX+EF
22	.	.	.	PUNC	SF	SF

# sent_id = 1641
# file = 00001
# text = 주무부서인 법무부가 사시 존치 필요 입장을 밝힌 만큼 국회는 조속히 사시 존치 관련 법안을 처리해야 한다 .
1	주무부서인	주무부서+인	주무부서+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
2	법무부가	법무부+가	법무부+가	NOUN	NNG+JKS	NNG+JKS
3	사시	사시	사시	NOUN	NNG	NNG
4	존치	존치	존치	NOUN	NNG	NNG
5	필요	필요	필요	NOUN	NNG	NNG
6	입장을	입장+을	입장+을	NOUN	NNG+JKO	NNG+JKO
7	밝힌	밝힌	밝히+ㄴ	VERB	VV_ETM	VV+ETM
8	만큼	만큼	만큼	NOUN	NNB	NNB
9	국회는	국회+는	국회+는	NOUN	NNG+JX	NNG+JX
10	조속히	조속히	조속히	ADV	MAG	MAG
11	사시	사시	사시	NOUN	NNG	NNG
12	존치	존치	존치	NOUN	NNG	NNG
13	관련	관련	관련	NOUN	NNG	NNG
14	법안을	법안+을	법안+을	NOUN	NNG+JKO	NNG+JKO
15	처리해야	처리해+야	처리하+어야	VERB	VV+EC	VV+EC
16	한다	한+다	하+ㄴ다	AUX	VX+EF	VX+EF
17	.	.	.	PUNC	SF	SF

# sent_id = 1642
# file = 00001
# text = 어떤 형태로든지 간에 높은 임대료 문제를 반드시 해결해야 한다는 의지의 표명으로 보인다 .
1	어떤	어떤	어떤	DET	MM	MM
2	형태로든지	형태+로든지	형태+로+든지	NOUN	NNG+JKB_JX	NNG+JKB+JX
3	간에	간+에	간+에	NOUN	NNB+JKB	NNB+JKB
4	높은	높+은	높+은	ADJ	VA+ETM	VA+ETM
5	임대료	임대료	임대료	NOUN	NNG	NNG
6	문제를	문제+를	문제+를	NOUN	NNG+JKO	NNG+JKO
7	반드시	반드시	반드시	ADV	MAG	MAG
8	해결해야	해결해+야	해결하+어야	VERB	VV+EC	VV+EC
9	한다는	한+다는	하+ㄴ다는	AUX	VX+ETM	VX+ETM
10	의지의	의지+의	의지+의	NOUN	NNG+JKG	NNG+JKG
11	표명으로	표명+으로	표명+으로	NOUN	NNG+JKB	NNG+JKB
12	보인다	보인+다	보이+ㄴ다	VERB	VV+EF	VV+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1643
# file = 00001
# text = 재신임 투표는 원래 대표님의 생각이고 추석 전에 당 분열 상황을 마무리하고 당원과 국민에게 이것을 수습하고 판단해 줄 수밖에 없다고 생각해 왔다 .
1	재신임	재신임	재신임	NOUN	NNG	NNG
2	투표는	투표+는	투표+는	NOUN	NNG+JX	NNG+JX
3	원래	원래	원래	NOUN	NNG	NNG
4	대표님의	대표님+의	대표님+의	NOUN	NNG+JKG	NNG+JKG
5	생각이고	생각+이고	생각+이+고	VERB	NNG+VCP_EC	NNG+VCP+EC
6	추석	추석	추석	NOUN	NNG	NNG
7	전에	전+에	전+에	NOUN	NNG+JKB	NNG+JKB
8	당	당	당	NOUN	NNG	NNG
9	분열	분열	분열	NOUN	NNG	NNG
10	상황을	상황+을	상황+을	NOUN	NNG+JKO	NNG+JKO
11	마무리하고	마무리하+고	마무리하+고	VERB	VV+EC	VV+EC
12	당원과	당원+과	당원+과	NOUN	NNG+JC	NNG+JC
13	국민에게	국민+에게	국민+에게	NOUN	NNG+JKB	NNG+JKB
14	이것을	이것+을	이것+을	PRON	NP+JKO	NP+JKO
15	수습하고	수습하+고	수습하+고	VERB	VV+EC	VV+EC
16	판단해	판단해	판단하+어	VERB	VV_EC	VV+EC
17	줄	줄	주+ㄹ	AUX	VX_ETM	VX+ETM
18	수밖에	수+밖에	수+밖에	NOUN	NNB+JX	NNB+JX
19	없다고	없+다고	없+다고	ADJ	VA+EC	VA+EC
20	생각해	생각해	생각하+어	VERB	VV_EC	VV+EC
21	왔다	왔+다	오+았+다	AUX	VX+EP_EF	VX+EP+EF
22	.	.	.	PUNC	SF	SF

# sent_id = 1644
# file = 00001
# text = 이종걸 원내대표라는 분열의 변수가 오늘 작동한 만큼 다음 주에 진행할 수밖에 없다는 것
1	이종걸	이종걸	이종걸	PROPN	NNP	NNP
2	원내대표라는	원내대표+라는	원내대표+이+라는	VERB	NNG+VCP_ETM	NNG+VCP+ETM
3	분열의	분열+의	분열+의	NOUN	NNG+JKG	NNG+JKG
4	변수가	변수+가	변수+가	NOUN	NNG+JKS	NNG+JKS
5	오늘	오늘	오늘	NOUN	NNG	NNG
6	작동한	작동한	작동하+ㄴ	VERB	VV_ETM	VV+ETM
7	만큼	만큼	만큼	NOUN	NNB	NNB
8	다음	다음	다음	NOUN	NNG	NNG
9	주에	주+에	주+에	NOUN	NNG+JKB	NNG+JKB
10	진행할	진행할	진행하+ㄹ	VERB	VV_ETM	VV+ETM
11	수밖에	수+밖에	수+밖에	NOUN	NNB+JX	NNB+JX
12	없다는	없+다는	없+다는	ADJ	VA+ETM	VA+ETM
13	것	것	것	NOUN	NNB	NNB

# sent_id = 1648
# file = 00001
# text = 김정은 되살리기와 북핵 볼모 , 한미동맹 약화 , 미군 철수 정쟁화 , 전쟁 위협 고조 , 외국 자본 철수 등 경제 파탄 우려 , 강성노조 전횡 , 전교조 합법화 , 반체제 인사 석방
1	김정은	김정+은	김정+은	PROPN	NNP+JX	NNP+JX
2	되살리기와	되살리+기와	되살리+기+와	VERB	VV+ETN_JC	VV+ETN+JC
3	북핵	북핵	북핵	PROPN	NNP	NNP
4	볼모	볼모	볼모	NOUN	NNG	NNG
5	,	,	,	PUNC	SP	SP
6	한미동맹	한미동맹	한미동맹	PROPN	NNP	NNP
7	약화	약화	약화	NOUN	NNG	NNG
8	,	,	,	PUNC	SP	SP
9	미군	미군	미군	NOUN	NNG	NNG
10	철수	철수	철수	NOUN	NNG	NNG
11	정쟁화	정쟁화	정쟁화	NOUN	NNG	NNG
12	,	,	,	PUNC	SP	SP
13	전쟁	전쟁	전쟁	NOUN	NNG	NNG
14	위협	위협	위협	NOUN	NNG	NNG
15	고조	고조	고조	NOUN	NNG	NNG
16	,	,	,	PUNC	SP	SP
17	외국	외국	외국	NOUN	NNG	NNG
18	자본	자본	자본	NOUN	NNG	NNG
19	철수	철수	철수	NOUN	NNG	NNG
20	등	등	등	NOUN	NNB	NNB
21	경제	경제	경제	NOUN	NNG	NNG
22	파탄	파탄	파탄	NOUN	NNG	NNG
23	우려	우려	우려	NOUN	NNG	NNG
24	,	,	,	PUNC	SP	SP
25	강성노조	강성노조	강성노조	NOUN	NNG	NNG
26	전횡	전횡	전횡	NOUN	NNG	NNG
27	,	,	,	PUNC	SP	SP
28	전교조	전교조	전교조	PROPN	NNP	NNP
29	합법화	합법화	합법화	NOUN	NNG	NNG
30	,	,	,	PUNC	SP	SP
31	반체제	반체제	반체제	NOUN	NNG	NNG
32	인사	인사	인사	NOUN	NNG	NNG
33	석방	석방	석방	NOUN	NNG	NNG

# sent_id = 1650
# file = 00001
# text = 전쟁으로 침체된 분위기에 디자인으로 생기를 불어넣고 싶었다 .
1	전쟁으로	전쟁+으로	전쟁+으로	NOUN	NNG+JKB	NNG+JKB
2	침체된	침체된	침체되+ㄴ	VERB	VV_ETM	VV+ETM
3	분위기에	분위기+에	분위기+에	NOUN	NNG+JKB	NNG+JKB
4	디자인으로	디자인+으로	디자인+으로	NOUN	NNG+JKB	NNG+JKB
5	생기를	생기+를	생기+를	NOUN	NNG+JKO	NNG+JKO
6	불어넣고	불어넣+고	불어넣+고	VERB	VV+EC	VV+EC
7	싶었다	싶+었다	싶+었+다	AUX	VX+EP_EF	VX+EP+EF
8	.	.	.	PUNC	SF	SF

# sent_id = 1653
# file = 00001
# text = 현 총장에 대한 불신임과 함께 법적 대응을 준비하겠다 .
1	현	현	현	DET	MM	MM
2	총장에	총장+에	총장+에	NOUN	NNG+JKB	NNG+JKB
3	대한	대한	대하+ㄴ	VERB	VV_ETM	VV+ETM
4	불신임과	불신임+과	불신임+과	NOUN	NNG+JKB	NNG+JKB
5	함께	함께	함께	ADV	MAG	MAG
6	법적	법적	법적	DET	MM	MM
7	대응을	대응+을	대응+을	NOUN	NNG+JKO	NNG+JKO
8	준비하겠다	준비하+겠다	준비하+겠+다	VERB	VV+EP_EF	VV+EP+EF
9	.	.	.	PUNC	SF	SF

# sent_id = 1654
# file = 00001
# text = 손흥민이 토트넘에서 메디컬 테스트를 받았고 , 펠러 레버쿠젠 단장이 이를 확인해줬다 .
1	손흥민이	손흥민+이	손흥민+이	PROPN	NNP+JKS	NNP+JKS
2	토트넘에서	토트넘+에서	토트넘+에서	PROPN	NNP+JKB	NNP+JKB
3	메디컬	메디컬	메디컬	NOUN	NNG	NNG
4	테스트를	테스트+를	테스트+를	NOUN	NNG+JKO	NNG+JKO
5	받았고	받+았고	받+았+고	VERB	VV+EP_EC	VV+EP+EC
6	,	,	,	PUNC	SP	SP
7	펠러	펠러	펠러	PROPN	NNP	NNP
8	레버쿠젠	레버쿠젠	레버쿠젠	PROPN	NNP	NNP
9	단장이	단장+이	단장+이	NOUN	NNG+JKS	NNG+JKS
10	이를	이+를	이+를	PRON	NP+JKO	NP+JKO
11	확인해줬다	확인해+줬다	확인하+어+주+었+다	VERB	VV+EC_VX_EP_EF	VV+EC+VX+EP+EF
12	.	.	.	PUNC	SF	SF

# sent_id = 1655
# file = 00001
# text = 법원은 과실 내용과 결과가 무겁다는 이유로 구속의 필요성을 인정했다 .
1	법원은	법원+은	법원+은	NOUN	NNG+JX	NNG+JX
2	과실	과실	과실	NOUN	NNG	NNG
3	내용과	내용+과	내용+과	NOUN	NNG+JC	NNG+JC
4	결과가	결과+가	결과+가	NOUN	NNG+JKS	NNG+JKS
5	무겁다는	무겁+다는	무겁+다는	ADJ	VA+ETM	VA+ETM
6	이유로	이유+로	이유+로	NOUN	NNG+JKB	NNG+JKB
7	구속의	구속+의	구속+의	NOUN	NNG+JKG	NNG+JKG
8	필요성을	필요성+을	필요성+을	NOUN	NNG+JKO	NNG+JKO
9	인정했다	인정했+다	인정하+었+다	VERB	VV+EP_EF	VV+EP+EF
10	.	.	.	PUNC	SF	SF

# sent_id = 1656
# file = 00001
# text = 감식 결과를 분석하고 추가 진술 조사를 통해 고의성 유무를 확인할 예정이다 .
1	감식	감식	감식	NOUN	NNG	NNG
2	결과를	결과+를	결과+를	NOUN	NNG+JKO	NNG+JKO
3	분석하고	분석하+고	분석하+고	VERB	VV+EC	VV+EC
4	추가	추가	추가	NOUN	NNG	NNG
5	진술	진술	진술	NOUN	NNG	NNG
6	조사를	조사+를	조사+를	NOUN	NNG+JKO	NNG+JKO
7	통해	통해	통하+어	VERB	VV_EC	VV+EC
8	고의성	고의성	고의성	NOUN	NNG	NNG
9	유무를	유무+를	유무+를	NOUN	NNG+JKO	NNG+JKO
10	확인할	확인할	확인하+ㄹ	VERB	VV_ETM	VV+ETM
11	예정이다	예정+이다	예정+이+다	VERB	NNG+VCP_EF	NNG+VCP+EF
12	.	.	.	PUNC	SF	SF

# sent_id = 1658
# file = 00001
# text = 스마트 TV를 더 가깝게 느낄 수 있는 서비스를 지속해서 출시할 것
1	스마트	스마트	스마트	NOUN	NNG	NNG
2	TV를	TV+를	TV+를	NOUN	SL+JKO	SL+JKO
3	더	더	더	ADV	MAG	MAG
4	가깝게	가깝+게	가깝+게	ADJ	VA+EC	VA+EC
5	느낄	느낄	느끼+ㄹ	VERB	VV_ETM	VV+ETM
6	수	수	수	NOUN	NNB	NNB
7	있는	있+는	있+는	ADJ	VA+ETM	VA+ETM
8	서비스를	서비스+를	서비스+를	NOUN	NNG+JKO	NNG+JKO
9	지속해서	지속해+서	지속하+어서	VERB	VV+EC	VV+EC
10	출시할	출시할	출시하+ㄹ	VERB	VV_ETM	VV+ETM
11	것	것	것	NOUN	NNB	NNB

# sent_id = 1659
# file = 00001
# text = 연합정부와 협치라는 주제로 독일의 정권별로 정치적 계승 사례를 중심으로 집필할 것을 구상 중에 있다 .
1	연합정부와	연합정부+와	연합정부+와	NOUN	NNG+JC	NNG+JC
2	협치라는	협치+라는	협치+이+라는	VERB	NNG+VCP_ETM	NNG+VCP+ETM
3	주제로	주제+로	주제+로	NOUN	NNG+JKB	NNG+JKB
4	독일의	독일+의	독일+의	PROPN	NNP+JKG	NNP+JKG
5	정권별로	정권별+로	정권별+로	NOUN	NNG+JKB	NNG+JKB
6	정치적	정치적	정치적	DET	MM	MM
7	계승	계승	계승	NOUN	NNG	NNG
8	사례를	사례+를	사례+를	NOUN	NNG+JKO	NNG+JKO
9	중심으로	중심+으로	중심+으로	NOUN	NNG+JKB	NNG+JKB
10	집필할	집필할	집필하+ㄹ	VERB	VV_ETM	VV+ETM
11	것을	것+을	것+을	NOUN	NNB+JKO	NNB+JKO
12	구상	구상	구상	NOUN	NNG	NNG
13	중에	중+에	중+에	NOUN	NNB+JKB	NNB+JKB
14	있다	있+다	있+다	ADJ	VA+EF	VA+EF
15	.	.	.	PUNC	SF	SF

# sent_id = 1660
# file = 00001
# text = 한국에 적용할 수 있는 연정 모델을 고려하며 책을 쓸 것
1	한국에	한국+에	한국+에	PROPN	NNP+JKB	NNP+JKB
2	적용할	적용할	적용하+ㄹ	VERB	VV_ETM	VV+ETM
3	수	수	수	NOUN	NNB	NNB
4	있는	있+는	있+는	ADJ	VA+ETM	VA+ETM
5	연정	연정	연정	NOUN	NNG	NNG
6	모델을	모델+을	모델+을	NOUN	NNG+JKO	NNG+JKO
7	고려하며	고려하+며	고려하+며	VERB	VV+EC	VV+EC
8	책을	책+을	책+을	NOUN	NNG+JKO	NNG+JKO
9	쓸	쓸	쓰+ㄹ	VERB	VV_ETM	VV+ETM
10	것	것	것	NOUN	NNB	NNB

# sent_id = 1661
# file = 00001
# text = 이 열사가 기거했던 건물을 인수해 기념관을 짓는 방안이 검토된 적이 있으나 비용 등 문제 때문에 추진력을 갖지 못했다 .
1	이	이	이	DET	MM	MM
2	열사가	열사+가	열사+가	NOUN	NNG+JKS	NNG+JKS
3	기거했던	기거했+던	기거하+었+던	VERB	VV+EP_ETM	VV+EP+ETM
4	건물을	건물+을	건물+을	NOUN	NNG+JKO	NNG+JKO
5	인수해	인수해	인수하+어	VERB	VV_EC	VV+EC
6	기념관을	기념관+을	기념관+을	NOUN	NNG+JKO	NNG+JKO
7	짓는	짓+는	짓+는	VERB	VV+ETM	VV+ETM
8	방안이	방안+이	방안+이	NOUN	NNG+JKS	NNG+JKS
9	검토된	검토된	검토되+ㄴ	VERB	VV_ETM	VV+ETM
10	적이	적+이	적+이	NOUN	NNB+JKS	NNB+JKS
11	있으나	있+으나	있+으나	ADJ	VA+EC	VA+EC
12	비용	비용	비용	NOUN	NNG	NNG
13	등	등	등	NOUN	NNB	NNB
14	문제	문제	문제	NOUN	NNG	NNG
15	때문에	때문+에	때문+에	NOUN	NNB+JKB	NNB+JKB
16	추진력을	추진력+을	추진력+을	NOUN	NNG+JKO	NNG+JKO
17	갖지	갖+지	갖+지	VERB	VV+EC	VV+EC
18	못했다	못했+다	못하+었+다	AUX	VX+EP_EF	VX+EP+EF
19	.	.	.	PUNC	SF	SF

# sent_id = 1662
# file = 00001
# text = 가족에게 일부 공개된 아버지 휴대폰 통신기록과 당시 사건 관계자들의 증언이 일치하지 않았다 .
1	가족에게	가족+에게	가족+에게	NOUN	NNG+JKB	NNG+JKB
2	일부	일부	일부	NOUN	NNG	NNG
3	공개된	공개된	공개되+ㄴ	VERB	VV_ETM	VV+ETM
4	아버지	아버지	아버지	NOUN	NNG	NNG
5	휴대폰	휴대폰	휴대폰	NOUN	NNG	NNG
6	통신기록과	통신기록+과	통신기록+과	NOUN	NNG+JC	NNG+JC
7	당시	당시	당시	NOUN	NNG	NNG
8	사건	사건	사건	NOUN	NNG	NNG
9	관계자들의	관계자들+의	관계자들+의	NOUN	NNG+JKG	NNG+JKG
10	증언이	증언+이	증언+이	NOUN	NNG+JKS	NNG+JKS
11	일치하지	일치하+지	일치하+지	VERB	VV+EC	VV+EC
12	않았다	않+았다	않+았+다	AUX	VX+EP_EF	VX+EP+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1663
# file = 00001
# text = 그럼에도 재수사를 하지 않겠다고 못을 박는 대한민국 경찰에 그저 실망감을 크게 느낀다 .
1	그럼에도	그럼+에도	그렇+ㅁ에도	ADJ	VA+EC	VA+EC
2	재수사를	재수사+를	재수사+를	NOUN	NNG+JKO	NNG+JKO
3	하지	하+지	하+지	VERB	VV+EC	VV+EC
4	않겠다고	않+겠다고	않+겠+다고	AUX	VX+EP_EC	VX+EP+EC
5	못을	못+을	못+을	NOUN	NNG+JKO	NNG+JKO
6	박는	박+는	박+는	VERB	VV+ETM	VV+ETM
7	대한민국	대한민국	대한민국	PROPN	NNP	NNP
8	경찰에	경찰+에	경찰+에	NOUN	NNG+JKB	NNG+JKB
9	그저	그저	그저	ADV	MAG	MAG
10	실망감을	실망감+을	실망감+을	NOUN	NNG+JKO	NNG+JKO
11	크게	크+게	크+게	ADJ	VA+EC	VA+EC
12	느낀다	느낀+다	느끼+ㄴ다	VERB	VV+EF	VV+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1665
# file = 00001
# text = 은행업 전망이 암울한 편이어서 미래도 불투명한데 이럴 때 명퇴금을 1억원 더 주면 나 같아도 바로 그만둔다 .
1	은행업	은행업	은행업	NOUN	NNG	NNG
2	전망이	전망+이	전망+이	NOUN	NNG+JKS	NNG+JKS
3	암울한	암울한	암울하+ㄴ	ADJ	VA_ETM	VA+ETM
4	편이어서	편+이어서	편+이+어서	VERB	NNB+VCP_EC	NNB+VCP+EC
5	미래도	미래+도	미래+도	NOUN	NNG+JX	NNG+JX
6	불투명한데	불투명한+데	불투명하+ㄴ데	ADJ	VA+EC	VA+EC
7	이럴	이럴	이렇+ㄹ	ADJ	VA_ETM	VA+ETM
8	때	때	때	NOUN	NNG	NNG
9	명퇴금을	명퇴금+을	명퇴금+을	NOUN	NNG+JKO	NNG+JKO
10	1억원	1억+원	1억+원	NUM	NR+NNB	NR+NNB
11	더	더	더	ADV	MAG	MAG
12	주면	주+면	주+면	VERB	VV+EC	VV+EC
13	나	나	나	PRON	NP	NP
14	같아도	같+아도	같+아도	ADJ	VA+EC	VA+EC
15	바로	바로	바로	ADV	MAG	MAG
16	그만둔다	그만둔+다	그만두+ㄴ다	VERB	VV+EF	VV+EF
17	.	.	.	PUNC	SF	SF

# sent_id = 1666
# file = 00001
# text = 전씨가 민감한 신체 부위를 만지지는 않았으나 피해자가 성적 수치심을 느껴 강제추행 혐의를 적용했다 .
1	전씨가	전+씨가	전+씨+가	PROPN	NNP+NNB_JKS	NNP+NNB+JKS
2	민감한	민감한	민감하+ㄴ	ADJ	VA_ETM	VA+ETM
3	신체	신체	신체	NOUN	NNG	NNG
4	부위를	부위+를	부위+를	NOUN	NNG+JKO	NNG+JKO
5	만지지는	만지+지는	만지+지+는	VERB	VV+EC_JX	VV+EC+JX
6	않았으나	않+았으나	않+았+으나	AUX	VX+EP_EC	VX+EP+EC
7	피해자가	피해자+가	피해자+가	NOUN	NNG+JKS	NNG+JKS
8	성적	성적	성적	NOUN	NNG	NNG
9	수치심을	수치심+을	수치심+을	NOUN	NNG+JKO	NNG+JKO
10	느껴	느껴	느끼+어	VERB	VV_EC	VV+EC
11	강제추행	강제추행	강제추행	NOUN	NNG	NNG
12	혐의를	혐의+를	혐의+를	NOUN	NNG+JKO	NNG+JKO
13	적용했다	적용했+다	적용하+었+다	VERB	VV+EP_EF	VV+EP+EF
14	.	.	.	PUNC	SF	SF

# sent_id = 1667
# file = 00001
# text = 이번 Hybrid PCS 출시를 계기로 ESS와 UPS에 대한 이중 구축비용을 획기적으로 절감할 수 있게 됐다 .
1	이번	이번	이번	NOUN	NNG	NNG
2	Hybrid	Hybrid	Hybrid	NOUN	SL	SL
3	PCS	PCS	PCS	NOUN	SL	SL
4	출시를	출시+를	출시+를	NOUN	NNG+JKO	NNG+JKO
5	계기로	계기+로	계기+로	NOUN	NNG+JKB	NNG+JKB
6	ESS와	ESS+와	ESS+와	NOUN	SL+JC	SL+JC
7	UPS에	UPS+에	UPS+에	NOUN	SL+JKB	SL+JKB
8	대한	대한	대하+ㄴ	VERB	VV_ETM	VV+ETM
9	이중	이중	이중	NOUN	NNG	NNG
10	구축비용을	구축비용+을	구축비용+을	NOUN	NNG+JKO	NNG+JKO
11	획기적으로	획기적+으로	획기적+으로	NOUN	NNG+JKB	NNG+JKB
12	절감할	절감할	절감하+ㄹ	VERB	VV_ETM	VV+ETM
13	수	수	수	NOUN	NNB	NNB
14	있게	있+게	있+게	ADJ	VA+EC	VA+EC
15	됐다	됐+다	되+었+다	VERB	VV+EP_EF	VV+EP+EF
16	.	.	.	PUNC	SF	SF

# sent_id = 1668
# file = 00001
# text = UPS 기능을 구현하는 데 에너지 손실을 최소화해 에너지 효율 측면에서도 고객사로부터 큰 호응이 기대된다 .
1	UPS	UPS	UPS	NOUN	SL	SL
2	기능을	기능+을	기능+을	NOUN	NNG+JKO	NNG+JKO
3	구현하는	구현하+는	구현하+는	VERB	VV+ETM	VV+ETM
4	데	데	데	NOUN	NNB	NNB
5	에너지	에너지	에너지	NOUN	NNG	NNG
6	손실을	손실+을	손실+을	NOUN	NNG+JKO	NNG+JKO
7	최소화해	최소화해	최소화하+어	VERB	VV_EC	VV+EC
8	에너지	에너지	에너지	NOUN	NNG	NNG
9	효율	효율	효율	NOUN	NNG	NNG
10	측면에서도	측면+에서도	측면+에서+도	NOUN	NNG+JKB_JX	NNG+JKB+JX
11	고객사로부터	고객사+로부터	고객사+로부터	NOUN	NNG+JKB	NNG+JKB
12	큰	큰	크+ㄴ	ADJ	VA_ETM	VA+ETM
